*** Teuchos::StackedTimer::report() - Remainder for a level will be ***
*** incorrect if a timer in the level does not exist on every rank  ***
*** of the MPI Communicator.                                        ***
Albany Velocity Solver: 282.415 [1] {min=281.835, max=283.321, std dev=0.523947}
|   Albany: Compute 2D Grid: 0.00728239 - 0.00257861% [2] {min=0.00519605, max=0.00874913, std dev=0.00112201}
|   Albany: Extrude 3D Grid: 20.3483 - 7.2051% [2] {min=20.3436, max=20.3583, std dev=0.00509139}
|   Albany: SolveFO: 248.484 - 87.9856% [2] {min=248.453, max=248.508, std dev=0.0145102}
|   |   Piro::NOXSolver::evalModelImpl::solve: 237.085 - 95.4123% [2] {min=237.07, max=237.122, std dev=0.0148108}
|   |   |   Thyra::NOXNonlinearSolver::solve: 237.064 - 99.9912% [2] {min=237.057, max=237.097, std dev=0.0127752}
|   |   |   |   Thyra::DefaultModelEvaluatorWithSolveFactory<double>::evalModel(...): 126.601 - 53.4039% [63] {min=103.884, max=131.594, std dev=5.91906}
|   |   |   |   |   Albany: Total Fill Time: 126.585 - 99.9869% [63] {min=103.862, max=131.578, std dev=5.9187}
|   |   |   |   |   |   Albany Fill: Residual: 25.864 - 20.4322% [37] {min=3.13885, max=30.8617, std dev=5.9194}
|   |   |   |   |   |   |   Phalanx::SortAndOrderEvaluators: 2.45083e-05 - 9.47583e-05% [4] {min=2.157e-05, max=6.972e-05, std dev=3.96491e-06}
|   |   |   |   |   |   |   Albany Residual Fill: Evaluate: 15.2713 - 59.0447% [37] {min=0.132742, max=30.1936, std dev=10.0717}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 2: [<Residual>] Gather Coordinate Vector<Residual>: 0.00501319 - 0.0328275% [9] {min=0.000287972, max=0.021475, std dev=0.00332091}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 16: [<Residual>] ComputeBasisFunctions<Residual>: 1.81477 - 11.8836% [9] {min=0.00150547, max=3.62103, std dev=1.20953}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 6: [<Residual>] LoadStateField(surface_height)<Residual>: 0.00394772 - 0.0258506% [9] {min=0.00020111, max=0.0290921, std dev=0.00271993}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 58: [<Residual>] DOFGradInterpolationBase<Residual>: 0.0536446 - 0.351277% [9] {min=0.0001991, max=0.108957, std dev=0.036232}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 28: [<Residual>] StokesFOBodyForce<Residual>: 0.00326752 - 0.0213965% [9] {min=0.00018388, max=0.0417572, std dev=0.00440274}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 51: [<Residual>] P0Interpolation[body_force] <Residual>: 0.0742301 - 0.486076% [9] {min=0.0003992, max=0.152901, std dev=0.0491613}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 13: [<Residual>] Save Field body_force to State body_forceResidual: 0.000840178 - 0.00550168% [9] {min=0.00019048, max=0.0177485, std dev=0.00186328}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 37: [<Residual>] Shared Parameter Power Exponent<Residual>: 9.22219e-05 - 0.00060389% [9] {min=8.4311e-05, max=0.00013448, std dev=4.8528e-06}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 8: [<Residual>] LoadStateField(mu)<Residual>: 0.00376075 - 0.0246263% [9] {min=0.000143359, max=0.00761887, std dev=0.00241864}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 73: [<Residual>] DOFCellToSide(mu -> mu_basalside)[Node Scalar]<Residual>: 0.000328287 - 0.0021497% [9] {min=0.00018708, max=0.00168037, std dev=0.000186505}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 12: [<Residual>] LoadStateField(effective_pressure)<Residual>: 0.00372389 - 0.0243849% [9] {min=0.00013398, max=0.00721561, std dev=0.00241129}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 67: [<Residual>] DOFCellToSide(effective_pressure -> effective_pressure_basalside)[Node Scalar]<Residual>: 0.00022678 - 0.00148501% [9] {min=0.00014086, max=0.000323766, std dev=4.6772e-05}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 5: [<Residual>] LoadStateField(ice_thickness)<Residual>: 0.00371496 - 0.0243264% [9] {min=0.00012735, max=0.00721205, std dev=0.00241016}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 71: [<Residual>] DOFCellToSide(ice_thickness -> ice_thickness_basalside)[Node Scalar]<Residual>: 0.000217693 - 0.00142551% [9] {min=0.000129262, max=0.000325132, std dev=4.6329e-05}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 7: [<Residual>] LoadStateField(bed_topography)<Residual>: 0.00370875 - 0.0242857% [9] {min=0.00012185, max=0.00717109, std dev=0.00241128}
|   |   |   |   |   |   |   |   Phalanx: Evaluator 64: [<Residual>] DOFCellToSide(bed_topography -> bed_topography_basalside)[Node Scalar]<Residual>: 0.0002158 - 0.00141311% [9] {min=0.00013116, max=0.00031489, std dev=4.62357e-05}
